"LOGICIEL
PARENT",CAS D’USAGE,STATUT,"Win 7
X86/x64",label,"VERSION
FRANÇAISE",SECTEUR,LINUX,Version,"FORMAT
ASSOCIÉ",LICENCE,COMPOSANT,ANDROID,FONCTIONNALITÉ
,,R,X,KeePass,X,Sécurité,2.3,2.3,KDB,GPL2,authentification,2.3,Gestion de mots de passe
,,FV,X,TrueCrypt,X,Sécurité,7.1,7.1,s.o.,L,chiffrement,,Chiffrement de disques
,,O,X,VeraCrypt,X,Sécurité,1.16,1.16,s.o.,AGPL,chiffrement,,Chiffrement de disques
,,R,2,LibreOffice,X,"Espace utilisateur 
& canal",5,5,ODF 1.2,MPL2,"Consultation et 
édition de 
documents",,Suite bureautique
LibreOffice,,R,2,MultiDiff,X,"Espace utilisateur 
& canal",1.3.0,1.3.0,s.o.,LGPL2.1,"Consultation et 
édition de 
documents",,diffusion multiformat
LibreOffice,,R,0,Ooo.HG,X,"Espace utilisateur 
& canal",9.12,9.12,s.o.,"Creative
Commons","Consultation et 
édition de 
documents",,cartes géographie
LibreOffice,,R,2,Grammalecte,X,"Espace utilisateur 
& canal",0.4.10.3,0.4.10.3,s.o.,GPL3,"Consultation et 
édition de 
documents",,correction grammaticale
LibreOffice,,R,X,typographytoolbar,X,"Espace utilisateur 
& canal",1.1,1.1,s.o.,BSD,"Consultation et 
édition de 
documents",,outils typographiques
,,R,,FranceTerme,X,"Espace utilisateur 
& canal",,,s.o.,CeCILL-C,"Consultation et 
édition de 
documents",X,correction anglicismes
,,R,X,Notepad++,X,"Espace utilisateur 
& canal",i,6.8.6,TXT,GPL,"Consultation et 
édition de 
documents",,Éditeur de textes
,"sans remplissage de 
formulaire ni vérification 
de signature",R,X,SumatraPDF,X,"Espace utilisateur 
& canal","utiliser 
Evince",3.1,PDF,GPL3,"Consultation et 
édition de 
documents",,Lecture simple de fichier PDF
,,R,X,PDFCreator,X,"Espace utilisateur 
& canal",,2.2,PDF,AGPL,"Consultation et 
édition de 
documents",,Création de PDF (imprimante)
,,R,X,BlueGriffon,X,"Espace utilisateur 
& canal",1.8,1.8,HTML,LGPL/GPL/MPL,"Consultation et 
édition de 
documents",,Éditeur HTML
,,R,X,Qgis,X,"Espace utilisateur 
& canal",2.12,2.12,,GPL,"Consultation et 
édition de 
documents",,"Système d’information 
géographique"
,,R,X,Scribus,X,"Espace utilisateur 
& canal",1.5,1.5,SLA,GPL,"Consultation et 
édition de 
documents",,PAO
,,R,X,VLC,X,"Espace utilisateur 
& canal",2.2.1,2.2.1,s.o.,GPL,"Consultation et 
édition de 
documents","0.9 en 
version bêta",Lecteur multimédia
,,O,X,Avidemux,X,"Espace utilisateur 
& canal",2.6,2.6,,GPL2,"Consultation et 
édition de 
documents",,Montage vidéo
,,R,X,Audacity,X,"Espace utilisateur 
& canal",2.1,2.1,,GPL2,"Consultation et 
édition de 
documents",,Enregistrement et édition de sons
,,R,X,Inkscape,X,"Espace utilisateur 
& canal",0.91,0.91,SVG,GPL,"Consultation et 
édition de 
documents",,Dessin (vectoriel)
,,R,X,The Gimp,X,"Espace utilisateur 
& canal",2.8.14,2.8,XCF,GPL3,"Consultation et 
édition de 
documents",,Dessin (matriciel)
,,O,,"LibreOffice sous 
Android",X,"Espace utilisateur 
& canal",,,ODF,MPL2,"Consultation et 
édition de 
documents",5,lecture de fichers ODF sur Android
,,R,,"OpenDocument
Reader",X,"Espace utilisateur 
& canal",,,ODF,GPL,"Consultation et 
édition de 
documents",4,lecture de fichers ODF sur Android
,,O,X,LibreCAD,X,"Espace utilisateur 
& canal",2.08,2.08,"DXF, DWG",GPL2,"Consultation et 
édition de 
documents",,Visionner des fichiers AutoCAD
,,R,X,DIA,X,"Espace utilisateur 
& canal",0.97,0.97,"nombreux 
voir fiche",GPL2,"Consultation et 
édition de 
documents",,Schémas
,,R,X,Thunderbird,X,"Espace utilisateur 
& canal",38,38,s.o.,MPL2,"messagerie & 
agenda & contacts",,Courrielleur
,,R,X,Pidgin,X,"Espace utilisateur 
& canal",2.10.11,2.10.11,s.o.,GPL2,"messagerie & 
agenda & contacts",,Client de messagerie instantanée
,,R,X,Filezilla,X,"Espace utilisateur 
& canal",3.14,3.14,s.o.,GPL,"messagerie & 
agenda & contacts",,Client FTP
,,R,X,Firefox ESR,X,"Espace utilisateur 
& canal",38 ESR,38 ESR,HTML,MPL2,navigateur web,,Navigateur
Firefox,,R,X,IE-Tab+,X,"Espace utilisateur 
& canal",non,2.04,s.o.,MPL v1.1,navigateur web,,"Pour voir une page dans Ffx avec 
le rendu IE"
Firefox,,O,X,"ODF Viewer 
(WebODF)",,"Espace utilisateur 
& canal",0,"0.5.3.1-
Signed",ODF,AGPL,navigateur web,,"Visualisation des ODF (surtout 
ODT) dans un onglet de Firefox"
,,R,X,NVDA,X,"Espace utilisateur 
& canal",0,2015.4,s.o.,GPL2,accessibilité,,lecteur d’écran
,,R,X,Freeplane,,"Espace utilisateur 
& canal",1.3,1.3,,GPL2,"outils de 
productivité",,Grapheur d'idées
,,R,X,ProjectLibre,,"Espace utilisateur 
& canal",1.6.2,1.6.2,"POD et 
XML",CPA,"outils de 
productivité",,Gestion de projet
,,R,2,PeaZIP,X,"Espace utilisateur 
& canal",5.8,5.8,nombreux,GPL,"compression & 
décompression",,Compression
,,R,X,Infrarecorder,X,"Espace utilisateur 
& canal",i,0.53,s.o.,GPL3,périphériques,,Gravure CD / DVD
